n_reach,label,win_loose,converted_time,time,lable_types
1,s2,1,0:01:32,1:32,"m = multiple reach attemps, w/ fail"
2,m,0,0:03:01,3:01,n = no reach attempt
3,s1,1,0:04:30,4:30,s1= success 1st attempt
4,m,0,0:05:59,5:59,s2 = success > 1st try
5,m,0,0:07:28,7:28,Sh = short of pellet
6,d,0,0:10:12,10:12,Lo = long of pellet
7,s1,1,0:11:40,11:40,d = dropped pellet after grab
8,s1,1,0:13:10,13:10,"c = cover, hand over cover"
9,s2,1,0:14:39,14:39,"r = ready postion, hand at ready position"
10,m,0,0:16:08,16:08,a = above pellet
11,s1,1,0:17:38,17:38,2 = No pellet reveal
12,m,0,0:19:06,19:06,s = single failed reach
13,s1,1,0:21:50,21:50,x = no pellet (chance)
14,d,0,0:23:20,23:20,lh = left hand Grab
15,m,0,0:24:50,24:50:00,t = tounge grab
16,d,0,0:27:18,27:18:00,
17,s2,1,0:29:44,29:44:00,
18,m,0,0:31:13,31:13:00,
19,d,0,0:33:57,33:57:00,
20,d,0,0:36:41,36:41:00,
21,m,0,0:39:10,39:10:00,
22,s2,1,0:41:54,41:54:00,
23,s1,1,0:43:23,43:23:00,
24,s2,1,0:44:53,44:53:00,
25,d,0,0:46:22,46:22:00,
26,s1,1,0:47:51,47:51:00,
27,s1,1,0:49:20,49:20:00,
28,s1,1,0:50:51,50:51:00,
29,s2,1,0:52:19,52:19:00,
30,m,0,0:53:48,53:48:00,
31,s1,1,0:56:32,56:32:00,
32,m,0,0:58:02,58:02:00,
33,s2,1,0:59:37,59:37:00,
34,m,0,1:01:05,61:05:00,
35,s2,1,1:02:33,62:33:00,
36,d,0,1:04:02,64:02:00,
37,m,0,1:05:31,65:31:00,
38,s2,1,1:08:15,68:15:00,
39,s2,1,1:09:44,69:44:00,
40,s2,1,1:11:14,71:14:00,
41,s2,1,1:12:44,72:44:00,
42,s1,1,1:14:14,74:14:00,
43,s1,1,1:16:57,76:57:00,
44,s2,1,1:18:26,78:26:00,
45,m,0,1:19:56,79:56:00,
46,m,0,1:21:38,81:38:00,
47,s2,1,1:23:08,83:08:00,
48,m,0,1:24:38,84:38:00,
49,s2,1,1:27:22,87:22:00,
50,m,0,1:28:50,88:50:00,
51,s1,1,1:30:25,90:25:00,
52,s2,1,1:31:54,91:54:00,
53,d,0,1:33:24,93:24:00,
54,m,0,1:34:53,94:53:00,
55,d,0,1:37:36,97:36:00,
56,s2,1,1:39:06,99:06:00,
57,s1,1,1:40:35,100:35:00,
58,d,0,1:42:05,102:05:00,
59,s1,1,1:43:35,103:35:00,
60,s2,1,1:45:04,105:04:00,
61,s1,1,1:46:34,106:34:00,
62,s1,1,1:48:03,108:03:00,
63,m,0,1:49:32,109:32:00,
64,s2,1,1:52:16,112:16:00,
65,d,0,1:53:44,113:44:00,
66,m,0,1:55:14,115:14:00,
67,m,0,1:57:58,117:58:00,
68,m,0,2:00:42,120:42:00,
69,m,0,2:03:26,123:26:00,
70,s1,1,2:04:56,124:56:00,
71,m,0,2:06:26,126:26:00,
72,m,0,2:07:55,127:55:00,
73,s2,1,2:10:39,130:39:00,
74,s2,1,2:12:08,132:08:00,START 1 Hour  2:12:00
75,m,0,2:13:38,133:38:00,
76,s1,1,2:15:08,135:08:00,
